id;source;source_id;target;target_id;label;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2;H20;H2_set;H2O;H2O0;H2O_set;O2;O20;O2_set;balance
0x0000023050B27D30;feed water;out1;feed water pump;in1;feed water:out1_feed water pump:in1;[];[];nan;False;False;5.18261356816739;kg / s;5.18261356816739;False;nan;nan;nan;False;1.0000000000000002;bar;1.0000000000000002;True;nan;nan;nan;False;84.00605394381935;kJ / kg;84.00605394381935;False;nan;nan;nan;False;20.000000000269154;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.005191925059926061;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x0000023050B41250;feed water pump;out1;electrolysis;in2;feed water pump:out1_electrolysis:in2;[];[];nan;False;False;5.18261356816739;kg / s;5.18261356816739;False;nan;nan;nan;False;20.00000000000001;bar;20.00000000000001;True;nan;nan;nan;False;86.5428418887788;kJ / kg;86.5428418887788;False;nan;nan;nan;False;20.179585312364907;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.005187607189163704;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x0000023050B414C0;electrolysis;out2;oxygen;in1;electrolysis:out2_oxygen:in1;[];[];nan;False;False;4.602687691922487;kg / s;4.602687691922487;False;nan;nan;nan;False;20.00000000000001;bar;20.00000000000001;False;nan;nan;nan;False;290.06397685678724;kJ / kg;290.06397685678724;False;nan;nan;nan;False;49.999999999998806;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.19172940893937435;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000023050B41730;electrolysis;out3;compressor stage 1;in1;electrolysis:out3_compressor stage 1:in1;[];[];nan;False;False;0.5799258762449037;kg / s;0.5799258762449037;False;nan;nan;nan;False;20.00000000000001;bar;20.00000000000001;False;nan;nan;nan;False;4299.892704050013;kJ / kg;4299.892704050013;False;nan;nan;nan;False;49.99999999999983;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.3907933224446655;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000023050B419A0;compressor stage 1;out1;cooler 1;in1;IF_massflow;[];[];nan;False;False;0.5799258762449037;kg / s;0.5799258762449037;False;nan;nan;nan;False;117.41554059235634;bar;117.41554059235634;False;nan;nan;nan;False;8001.868930972865;kJ / kg;8001.868930972865;False;nan;nan;nan;False;299.84170778207533;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.12145760370454181;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000023050B419D0;cooler 1;out1;power plant outlet sink;in1;cooler 1:out1_power plant outlet sink:in1;[];[];nan;False;False;0.5799258762449037;kg / s;0.5799258762449037;False;nan;nan;nan;False;115.06722978050921;bar;115.06722978050921;False;nan;nan;nan;False;3986.171970486947;kJ / kg;3986.171970486947;False;nan;nan;nan;False;25.00000000000108;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.06627948449287371;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000023050B27100;power plant outlet source;out1;pipe;in1;power plant outlet source:out1_pipe:in1;[];[];nan;False;False;0.5799258762449037;kg / s;0.5799258762449037;False;nan;nan;nan;False;115.06722978050921;bar;115.06722978050921;False;0x0000023050B419D0;1.0;0.0;True;3986.171970486947;kJ / kg;3986.171970486947;False;0x0000023050B419D0;1.0;0.0;True;25.00000000000108;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.06627948449287371;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;0;0;True;False
0x0000023050B4E430;pipe;out1;storage;in1;IF_pressure;[];[];nan;False;False;0.5799258762449037;kg / s;0.5799258762449037;False;0x0000023050B419D0;1.0;0.0;True;115.0;bar;115.0;True;nan;nan;nan;False;3986.171970486947;kJ / kg;3986.171970486947;False;nan;nan;nan;False;25.002431759691774;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.06631615834173014;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000023050B4E310;cooling water inlet;out1;electrolysis;in1;cooling water inlet:out1_electrolysis:in1;[];[];nan;False;False;168.91985798810163;kg / s;168.91985798810163;False;nan;nan;nan;False;1.0;bar;1.0;True;nan;nan;nan;False;84.00605394378896;kJ / kg;84.00605394378896;False;nan;nan;nan;False;20.000000000269154;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.16922335271037708;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;0;0;True;False
0x0000023050B4EAF0;electrolysis;out1;cooling water outlet;in1;electrolysis:out1_cooling water outlet:in1;[];[];nan;False;False;168.91985798810163;kg / s;168.91985798810163;False;nan;nan;nan;False;0.98;bar;0.98;False;nan;nan;nan;False;167.61333940708604;kJ / kg;167.61333940708604;False;nan;nan;nan;False;39.99999999999193;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.17024523528988086;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
